USER,INTENT,Slot-Value,Value,B-I-O Tag
Woah! There is a significant difference in their price. Agfa ePhoto CL45 Clik!.,Inform,NA,NA,O O O O O O O O O B-Brand I-Model O O
I will take the Agfa ePhoto CL30 Clik! Because storage is my main priority.,Inform,"Brand-Afga, 
Model-ePhoto CL30 Clik!","Afga, ePhoto CL30 Clik!",O O O O B-Brand I-Model O O O B-Storage O O O O
But the price seems high for this one also.,Reject,NA,NA,O O B-Cost O O O O O O
"OK, then, please proceed with Billing.",BookingReq,NA,NA,O O O O O O
Amazing. Thank you for your time and assistance.,Gratitude,NA,NA,O O O O O O O O
211,,,,
"Hello, I want to buy a camera.",CameraSelReq,NA,#VALUE!,O O O O O O O
I want a Canon PowerShot A300 camera.,Inform,"Brand-Canon, Model-PowerShotA300","Canon, PowerShotA300",O O O B-Brand O O O
Can you tell me about its details?,Request,Feature-UNK,UNK,O O O O O O O
Please book this for me.,BookingReq,NA,NA,O O O O O
"Yes, I also want to buy one smartphone.",PhoneSelReq,NA,NA,O O O O O O O O
"I need 4 GB RAM, dual sim and it should be from Oppo brand because I want good camera quality.",Request,"Brand-Oppo, Ram-4","Oppo, 4",O O O O O B-Sim B-Sim O O O O O B-Brand O O O O O O O
Tell me about its features.,Request,Feature-UNK,UNK,O O O O O
That is great. What about its price?,Request,Cost-UNK,UNK,O O O O O O B-Cost
It's too expensive.,Inform,NA,NA,O O O
"I want a normal phone just to click good selfies, This phone has some extra features and they are not for my use.",Reject,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O
"No thanks, I will wait till the next price drop.",Close,NA,NA,O O O O O O O O B-Cost O
"No, I only want Canon PowerShot A300 camera",BookingReq,NA,NA,O O O O B-Brand I-Model O O
Thanks,Gratitude,NA,NA,Thanks
212,,,,
"Hello, I am looking for a tablet for myself.",TabletSelReq,NA,NA,O O O O O O O O O
I Don't know about the specification but I like this one. Here is alink: https://tse2.mm.bing.net/th?id=OIP.jI5-hyDmoBxZp_7ftPZUWgHaHE&pid=Api&P=0&w=160&h=153,TabletSelReq,NA,NA,O O O O O O O O O O O O O O O
Is it a good brand?,FeedbackReq,NA,NA,O O O O B-Brand
Tell me about its features.,Inform,Feature-UNK,UNK,O O O O B-Feature
"Oh, it is pretty expensive.",Reject,NA,NA,O O O O O
"Okay, please keep it aside and show me a laptop.",LaptopSelReq,NA,NA,O O O O O O O O O O
I want a laptop of Acer brand only.,Inform,Brand-Acer,Acer,O O O O O B-Brand O O
"Yes, I want i7 processor in my laptop.",Request,Processor-i7,i7,O O O I-Processor O O O O
It would be be under 4000 EUR.,Inform,NA,NA,O O O O O B-Cost O
Tell me about its features.,Inform,Feature-UNK,UNK,O O O O O
Please book both the product.,BookingReq,NA,NA,O O O O O
213,,,,
I want to buy a laptop,LaptopSelReq,NA,NA,O O O O O O
I want an i5 processor. And nvidia graphics.,Inform,"Processor-i5, GPU-nvidia","i5, nvidia",O O O I-Processor O O B-Brand O
"Yes, I want only the Lenovo brand.",Inform,Brand-Lenovo,Lenovo,O O O O O B-Brand O
Tell me about its features.,Request,Feature-UNK,UNK,O O O O B-Feature
What is the price?,Request,Cost-UNK,UNK,O O O B-Cost
Don't you have any discount?,Request,NA,NA,O O O O O
Its price is high can you show me another one ?,Feedback,NA,NA,O B-Cost O O O O O O O O O
"Still, I can't afford it. please show me another.",Reject,NA,NA,O O O O O O O O O
but I want an i5 nvidia processor.,Feedback,NA,NA,O O O O I-Processor B-Brand O
but its price is too high then I have to wait for the next price drop.,Reject,NA,NA,O O B-Cost O O O O O O O O O O O B-Cost O
No thanks,Close,NA,NA,O O
214,,,,
"Hello, I am looking to buy a phone for myself.",PhoneSelReq,NA,NA,O O O O O O O O O O
I don't know the exact features. Here is the picture https://tse3.mm.bing.net/th?id=OIP.TKuExW5CRNsV6fpYLZBtTAHaIY&pid=Api&P=0&w=300&h=300,Inform,Brand-Gionee,Gionee,O O O O O O O O O O O
Is it a good brand?,FeedbackReq,NA,NA,O O O O O
Tell me about its features.,Request,Feature-UNK,UNK,O O O O O
"Oh, it is pretty expensive.",Feedback,NA,NA,O O O O B-Cost
"Okay, please keep it aside and show me a laptop.",LaptopSelReq,NA,NA,O O O O O O O O O O
I want a laptop of Acer brand only.,Inform,Brand-Acer,Acer,O O O O O B-Brand O O
"Yes, I want an i7 processor.",Inform,Processor-i7,i7,O O O O I-Processor O
It should be within 4000 EURO.,Inform,Budget-4000,4000,O O O O B-Cost O
Tell me about its features.,Request,Feature-UNK,UNK,O O O O O
Please book both the product.,BookingReq,NA,NA,O O O O O
No. Thank you.,Close,NA,NA,O O O
215,,,,
"Hello, I am a photographer, and I want a high-quality camera.",CameraSelReq,NA,NA,O O O O O O O O O O O
"Yes, I want above 3000 max resolution",Inform,MaxResolution-3000,3000,O O O O B-MaxResolution O O
It should be between 200 EUR.,Inform,Budget-200,200,O O O O B-Cost O
Can you tell me about its features?,Request,Feature-UNK,UNK,O O O O O O B-Feature
What about its price?,Request,Cost-UNK,UNK,O O O B-Cost
"Okay, please keep it aside and show me a laptop.",LaptopSelReq,NA,NA,O O O O O O O O O O
"I want a laptop, but it should be from Lenovo",Inform,Brand-Lenovo,Lenovo,O O O O O O O O O B-Brand
I want an i5 processor from intel graphics.,Inform,"Processor-i5, GPU-intel","i5, intel",O O O I-Processor O O B-Processor O
"Great, can you please tell me about its features?",Request,Feature-UNK,UNK,O O O O O O O O B-Feature
What about its price?,Request,Cost-UNK,UNK,O O O B-Cost
Don't you have any discounted price?,Request,NA,NA,O O O O O B-Cost
"Okay, can you please book both of this product?",BookingReq,NA,NA,O O O O O O O O O
"No, Thank You for your help.",Close,NA,NA,O O O O O O
216,,,,
"Good Evening, can you help us to buy a smartphone which has good camera quality?",PhoneSelReq,NA,NA,O O O O O O O O O O O O O B-Camera O
I like ASUS brand. I want between 300 EUR.,Inform,Budget-300,300,O O B-Brand O O O O B-Cost O
What are its features?,Request,Feature-UNK,UNK,O O O B-Feature
"Wow, what about its price.",Request,Cost-UNK,UNK,O O O O B-Cost
It's a bit expensive,Feedback,NA,NA,O O O O
"Okay then, please confirm this one. Do you also sell a laptop?",LaptopSelReq,NA,NA,O O O O O O O O O O O O
I want an i3 processor with intel graphics.,Inform,"Processor-i3, GPU-intel","i3, intel",O O O O O O B-Processor O
Yes please see between 2000 EUR.,Feedback,Budget-2000,2000,O O O O B-Cost O
Do you have any discount?,Request,NA,NA,O O O O O
Please tell me about its features.,Request,Feature-UNK,UNK,O O O O O B-Feature
Can you please book both of this product?,BookingReq,NA,NA,O O O O O O O O
Thanks.,Close,NA,NA,O
217,,,,
"Good Morning, I want a laptop for my daughter for her online class.",LaptopSelReq,NA,NA,O O O O O O O O O O O O O
"Yes, I want a Huawei MateBook D Volta.",Inform,"Brand-Huawei, Model MateBook D Volta","Huawei, MateBook D Volta",O O O O B-Brand B-Model I-Model I-Model
Don't you have any discounted price?,Request,NA,NA,O O O O O B-Cost
"Okay, can you tell me about its features?",Request,Feature-UNK,UNK,O O O O O O O B-Feature
"Okay, please keep it aside and show me a camera from the Canon brand.",CameraSelReq,Brand-Canon,Canon,O O O O O O O O O O O O B-Brand O
I want above 4000 max resolution.,Inform,Resolution-4000,4000,O O O B-MaxResolution O O
Tell me about its features.,Request,Feature-UNK,UNK,O O O O B-Feature
What is the price?,Request,Cost-UNK,UNK,O O O B-Cost
It is so expensive I can't afford it.,Feedback,NA,NA,O O O O O O O O
"Still, please only book Huawei MateBook D Volta",BookingReq,NA,NA,O O O O B-Brand O O O
Thank You.,Close,NA,NA,O O
218,,,,
I want a laptop of Acer brand only.,LaptopSelReq,Brand-Acer,Acer,O O O O O B-Brand O O
"Yes, I want an i7 processor.",Inform,Processor-i7,i7,O O O O I-Processor O
This laptop is between 4000 EUR.,Inform,Budget-4000,4000,O O O O B-Cost O
Tell me about its features.,Request,Feature-UNK,UNK,O O O O B-Feature
Please book both the product.,BookingReq,NA,NA,O O O O O
I also want to buy one smartphone.,PhoneSelReq,NA,NA,O O O O O O O
"I need 4 GB RAM, dual sim and it should be from Oppo brand because I want good camera quality.",Inform,"RAM-4, Brand-Oppo, Camera-good","4, Oppo, good",O O O O O B-RAM O B-Sim O O O O O B-Brand O O O O O O O
Tell me about its features.,Request,Feature-UNK,UNK,O O O O B-Feature
That is great. What about its price?,Request,Cost-UNK,UNK,O O O O O O B-Cost
It's too expensive.,Feedback,NA,NA,O O O
"No thanks, I will wait till the next price drop.",Reject,NA,NA,O O O O O O O O B-Cost O
"No, I only want Aspire 5 A515-54G",BookingReq,NA,NA,O O O O O B-Brand I-Model O
thanks,Close,NA,NA,O
219,,,,
"Good Evening, can you help us to buy a smartphone which has good camera quality?",PhoneSelReq,NA,NA,O O O O O O O O O O O O O O O
"I want between 300 EUR, buy please look from an ASUS brand.",Inform,"Budget-300 , Brand-ASUS","300 , Brand-ASUS",O O O B-Cost O O O O O O B-Brand O
What are its features?,Request,Feature-UNK,UNK,O O O B-Feature
"Wow, what about its price.",Request,Cost-UNK,UNK,O O O O B-Cost
It's a bit expensive,Feedback,NA,NA,O O O O
"Okay then, please confirm this one. Do you also sell a laptop?",LaptopSelReq,NA,NA,O O O O O O O O O O O O
"Yes, I want a Huawei MateBook D Volta",Inform,Model-Huawei MateBook D Volta,Huawei MateBook D Volta,O O O O B-Brand I-Model O O
don't you have any discounted price.,FeedbackReq,NA,NA,O O O O O O
"Okay, can you tell me about its features?",Request,Feature-UNK,UNK,O O O O O O O B-Feature
"Okay, please book both the product.",BookingReq,NA,NA,O O O O O O
No. Thank You.,Close,NA,NA,O O O
220,,,,
"Hello, I am a photographer, and I want a high-quality camera.",CameraSelReq,NA,NA,O O O O O O O O O O O
"Yes, I want above 3000 max resolution",Inform,MaxResolution-3000,3000,O O O O B-MaxResolution O O
It should be between 200 EUR.,Inform,Budget-200,200,O O O O B-Cost O
Can you tell me about its features?,Request,Feature-UNK,UNK,O O O O O O B-Feature
What about its price?,Request,Cost-UNK,UNK,O O O B-Cost
"Okay, please keep it aside and show me a laptop.",LaptopSelReq,NA,NA,O O O O O O O O O O
I want a laptop of Acer brand only.,Inform,Brand-Acer,Acer,O O O O O B-Brand O O
"Yes, I want an i7 processor.",Inform,Processor-i7,i7,O O O O I-Processor O
This laptop should be in between 4000 EUR.,Inform,Budget-4000,4000,O O O O O O B-Cost O
Tell me about its features.,Request,Feature-UNK,UNK,O O O O B-Feature
Please book both the product.,BookingReq,NA,NA,O O O O O
"No, thank you.",Close,NA,NA,O O O
221,,,,
"Hello, I am looking to buy a phone for myself.",PhoneSelReq,NA,NA,O O O O O O O O O O
I do not know much about this phone. Here is the picture- https://tse3.mm.bing.net/th?id=OIP.TKuExW5CRNsV6fpYLZBtTAHaIY&pid=Api&P=0&w=300&h=300,Inform,NA,NA,O O O O O O O O O O O O O
Is it a good brand?,FeedbackReq,Brand-Good,Good,O O O O B-Brand
Tell me about its features.,Request,Feature-UNK,UNK,O O O O B-Feature
"Oh, it is pretty expensive.",Feedback,NA,NA,O O O O O
"Okay, please keep it aside and show me a tablet also for my sister.",TabletSelReq,NA,NA,O O O O O O O O O O O O O O
"I don't know the exact features, but here is the picture https://tse3.mm.bing.net/th?id=OIP.TKuExW5CRNsV6fpYLZBtTAHaIY&pid=Api&P=0&w=300&h=300",Inform,NA,NA,O O O O O O O O O O O O
is it a good brand?,Feedback,NA,NA,O O O O B-Brand
Tell me about its features.,Request,Feature-UNK,UNK,O O O O B-Feature
"Okay, please book it for me.",BookingReq,NA,NA,O O O O O O
Thank you,Close,NA,NA,O O
222,,,,
"Hello, I am looking to buy a camera for myself.",CameraSelReq,NA,NA,O O O O O O O O O O
Here is the picture https://tse2.mm.bing.net/th?id=OIP.1pNnvVMHqBsg8FDsAjlHAQHaEx&pid=Api&P=0&w=267&h=173,Inform,Brand-Agfa,Agfa,O O O O O
I doubt this brand.,Feedback,NA,NA,O O O B-Brand
Tell me about its features.,Request,Feature-UNK,UNK,O O O O B-Feature
"Oh, it is pretty expensive.",Feedback,NA,NA,O O O O O
but I don't want to spend this much money. Can you show the same model but low price?,Feedback,NA,NA,O O O O O O O O O O O O O O O O O B-Cost
Price range in between 200 EUR?,Inform,Budget-200,200,B-Cost O O O B-Cost O
Tell me its features.,Request,Feature-UNK,UNK,O O O B-Feature
"Okay, book it for me and show me a phone.",PhoneSelReq,NA,NA,O O O O O O O O O O
One from Gionee.,Inform,Brand-Gionee,Gionee,O O B-Brand
Tell me about its features.,Request,Feature-UNK,UNK,O O O O B-Feature
"Oh, it is pretty expensive.",Feedback,NA,NA,O O O O O
Okay. Book this one also.,BookingReq,NA,NA,O O O O O
No. Thank you for your assistance.,Close,NA,NA,O O O O O O
223,,,,
"Hello, I want a laptop.",LaptopSelReq,NA,NA,O O O O O
"I want this, Here is the picture: https://tse2.mm.bing.net/th?id=OIP.pECCv2VVGJWU_E4PbRovxAHaFj&pid=Api&P=0&w=201&h=152",Inform,Brand-Lenovo,Lenovo,O O O O O O O O
"Lenovo, Is it a good brand?",FeedbackReq,NA,NA,O O O O O B-Brand
"Okay, Tell me about its features.",Request,Feature-UNK,UNK,O O O O O B-Feature
Tell me about its disk space.,Request,Storage-UNK,UNK,O O O O O B-Storage
What about its price?,Request,Cost-UNK,UNK,O O O B-Cost
It's costly don't you have any discount.,Feedback,NA,NA,O O O O O O O
"No, thank you, please show me another laptop.",Reject,NA,NA,O O O O O O O O
Tell me about its features.,Request,Feature-UNK,UNK,O O O O B-Feature
"Okay, please book this for me.",BookingReq,NA,NA,O O O O O O
Thank you,Close,NA,NA,O O
224,,,,
"Hello, I want a phone for myself.",PhoneSelReq,NA,NA,O O O O O O O
It should have maximum storage.,Inform,Storage-Maximum,Maximum,O O O O B-Storage
I was thinking of Gionee. Is it a good brand?,Inform,Brand-Gionee,Gionee,O O O O B-Brand O O O O B-Brand
"Okay, tell me about its features.",Request,Feature-UNK,UNK,O O O O O B-Feature
Tell me about its colour.,Request,Colour-UNK,UNK,O O O O B-Colour
Great. I like black colour very much.,Feedback,Colour-Black,Black,O O O B-Colour O O O
What about its price?,Request,Cost-UNK,UNK,O O O B-Cost
It's costly don't you have any discount.,FeedbackReq,NA,NA,O O O O O O O
"No, thank you, please show me another phone.",Reject,NA,NA,O O O O O O O O
Tell me about its features.,Request,Feature-UNK,UNK,O O O O B-Feature
"Okay, please book this for me.",BookingReq,NA,NA,O O O O O O
Thank you,Close,NA,NA,O O
225,,,,
"Good morning, I want a laptop with display size more than 16 inches.",LaptopSelReq,Display-16,16,O O O O O O O O O O O B-DisplaySize
I have to use it for almost everything including high end gaming.,Inform,NA,NA,O O O O O O O O O O O O
Previously I was using DELL but I am not satisfied with its performance so this time I have decided to try HP laptops. Is HP a good brand?,FeedbackReq,Brand-HP,HP,O O O O B-Brand O O O O O O O O O O O O O O O O B-Brand O O B-Brand O O O
What's its display size?,Request,Display-UNK,UNK,O O O B-DisplaySize
What is its graphics card?,Request,GPU-UNK,UNK,O O O O B-GPU
Which processor does it uses?,Request,Processor-UNK,UNK,O B-Processor O O O
Great.I was also looking for an i7 processor.,Feedback,Processor-i7,NA,O O O O O O I-Processor O
How much is its disk space?,Request,Storage-UNK,UNK,O O O O O B-Storage
I don't think 256 GB disk space will be enough for me as I do heavy tasks on my laptop.,Reject,NA,NA,O O O B-Storage O O O O O O O O O O O O O O O O
What is its price?,Request,Cost-UNK,UNK,O O O B-Cost
This laptop is perfect for me.,Feedback,NA,NA,O O O O O O
Yeah sure.,BookingReq,NA,NA,O O
Thank You.,Close,NA,NA,O O
226,,,,
"Good evening, I am looking for a tablet.",TabletSelReq,NA,NA,O O O O O O O O
Yes it must be either of Apple or of Samsung.Please let me know if these are  good brand or not.,FeedbackReq,"Brand-Apple, Samsung","Apple, Samsung",O O O O O O B-Brand O O O O O O O O O O O O O
